Data from robot gripper sensors											
Nov-14											
Data generation: Physical testing and data logging												
Hardware: human, Robotiq hand																			
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
49	0.241875	0.2125	0.546875	0.001333333	0.75	0.6625	1.135	0.005
50	0.06	0.066875	0.740625	0.002166667	0.1375	0.1	1.145	0.0075
51	0.025	0.35625	0.380625	0.443	0.0775	0.9775	0.92	1.1425
52	0.72625	0.034375	0.54	0.388166667	1.245	0.08	1.0875	1.12
53	0.064375	0.33375	0.4125	0.03	0.1625	1.155	0.8425	0.265
54	0.04875	0.134375	0.39125	0.464333333	0.125	0.355	0.8625	1.165
55	0.059375	0.30625	0.404375	0.033	0.2075	1.0875	1.1525	0.355
56	0.0675	0.698125	0.355	0.431666667	0.165	1.26	0.8575	1.115
57	0.061875	0.6875	0.355625	0.545166667	0.16	1.2275	0.775	1.25
58	0.299375	0.373125	0.33875	0.004833333	0.9975	0.9575	1.06	0.025
59	0.4	0.46375	0.37625	0.0025	0.8875	1.1575	1.0775	0.0075
60	0.236875	0.31125	0.004375	0.000833333	0.82	0.84	0.01	0
61	0.05625	0.126875	0.016875	0.014333333	0.1525	0.4475	0.045	0.125
62	0.215625	0.085625	0.013125	0.005	0.84	0.2925	0.025	0.03
63	0.271875	0.245625	0.0625	0.115166667	0.8075	0.545	0.19	0.8725
64	0.21875	0.08875	0.13125	0.025833333	0.805	0.305	0.4375	0.17
65	0.208125	0.050625	0.17375	0.002833333	0.7475	0.18	0.605	0.02
66	0.306875	0.32125	0.259375	0.009666667	0.7925	1.1575	0.8425	0.0525
67	0.345625	0.030625	0.091875	0.1285	0.89	0.07	0.24	0.5775
68	0.32375	0.353125	0.21375	0.0035	0.9225	0.9975	0.7575	0.0125
69	0.545625	0.438125	0.36375	0.002333333	1.06	0.8725	0.7175	0.005
70	0.43625	0.763125	0.509375	0.0015	1.075	1.0725	0.775	0.0025
71	0.2075	0.480625	0.494375	0.036666667	0.7	1.1875	0.9225	0.3525
72	0.5325	0.20625	0.249375	0.072833333	0.865	0.475	0.63	0.385
73	0.29375	0.548125	0.02375	0.078833333	0.84	1.015	0.0425	0.3525
74	0.471875	0.37875	0.0275	0.0835	0.9575	0.87	0.0475	0.4175
75	0.454375	0.755625	0.02375	0.107666667	0.905	1.115	0.0475	0.8125
76	0.433125	0.20625	0.080625	0.050166667	0.84	0.53	0.1975	0.3075
77	0.4075	0.53375	0.004375	0.082833333	0.805	0.84	0.0075	0.655
78	0.225	0.639375	0.0075	0.045333333	0.8025	0.865	0.02	0.3275
79	0.2825	0.50125	0.253125	0.003166667	0.98	0.8725	0.8325	0.0125
80	0.235625	0.563125	0.33	0.0015	0.8325	0.865	0.7625	0.0025
81	0.02875	0.578125	0.66625	0.001666667	0.09	0.87	0.9475	0.005
82	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
83	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
84	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
85	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
86	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
87	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
88	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
89	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
90	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
91	0.226875	0.736875	0.450625	0.002166667	0.825	1.14	1.0775	0.005
92	0.371875	0.594375	0.01	0.1195	0.8825	0.8725	0.02	0.9275
93	0.54	0.4175	0.224375	0.008833333	0.9175	0.875	0.7525	0.0575
94	0.5325	0.50375	0.019375	0.100833333	1.1825	0.925	0.045	0.95
95	0.21875	0.5025	0.02625	0.029833333	0.7775	0.8775	0.08	0.17
96	0.25875	0.315	0.12125	0.105666667	0.8675	0.9675	0.1975	0.44
97	0.249375	0.5775	0.118125	0.1045	0.8675	0.86	0.2275	0.3
98	0.21125	0.356875	0.269375	0.113333333	0.795	0.995	0.6575	0.34
99	0.313125	0.473125	0.414375	0.003833333	1.1	0.87	0.8375	0.0175
100	0.065	0.8675	0.58875	0.002	0.21	1.0875	0.975	0.01
101	0.2475	0.031875	0.163125	0.09	0.905	0.11	0.3175	0.3075
102	0.225	0.029375	0.510625	0.127333333	0.8125	0.09	0.8125	0.4825
103	0.16875	0.0975	0.231875	0.324666667	0.585	0.33	0.65	1.1675
104	0.235625	0.116875	0.151875	0.158	0.8675	0.3575	0.4025	0.605
105	0.224375	0.068125	0.01875	0.184333333	0.8725	0.17	0.025	0.76
106	0.22625	0.021875	0.18	0.0995	0.865	0.03	0.3925	0.545
107	0.235625	0.06875	0.255625	0.165833333	0.8525	0.15	0.595	0.745
108	0.25625	0.543125	0.395625	0.0035	0.88	0.88	0.7675	0.015
109	0.259375	0.7525	0.341875	0.000666667	0.9	1.19	0.6925	0.005
110	0.239375	0.734375	0.530625	0.0015	0.8575	1.1275	0.7025	0.005
111	0.09	0.44	0.09125	0.058833333	0.33	0.985	0.32	0.325
112	0.225625	0.665	0.01875	0.143333333	0.8875	1.0625	0.03	0.745
113	0.046875	0.448125	0.6325	0.1035	0.08	0.995	1.1375	0.73
114	0.185	0.536875	0.415	0.030833333	0.575	1.17	0.94	0.27
115	0.370625	0.43625	0.281875	0.082333333	1.19	0.9425	0.5725	0.7325
116	0.10125	0.436875	0.565	0.0675	0.2425	0.9575	0.9575	0.6625
117	0.34	0.550625	0.168125	0.004666667	0.965	1.2025	0.235	0.0275
118	0.465625	0.593125	0.43625	0.0025	0.915	1.1075	1.1675	0.01
119	0.04625	0.0175	0.21375	0.001833333	0.1525	0.035	0.635	0.005
120	0.0225	0.49875	0.163125	0.001666667	0.0675	0.9725	0.575	0.0025
121	0.01375	0.094375	0.03	0.003666667	0.0275	0.3625	0.0775	0.025
122	0.06625	0.04	0.015	0.036166667	0.2375	0.075	0.0375	0.24
123	0.075	0.13	0.004375	0.077666667	0.29	0.51	0.01	0.5875
124	0.02	0.019375	0.02625	0.002	0.05	0.0575	0.075	0.0075
125	0.009375	0.036875	0.03	0.002	0.0175	0.1225	0.055	0.005
126	0.2	0.04	0.244375	0.0035	0.76	0.0775	0.715	0.0325
127	0.003125	0.00375	0.001875	0.004	0.005	0.01	0.0025	0.04
128	0.24625	0.00375	0.6225	0.001333333	0.885	0.0075	1.12	0.005
129	0.149375	0.0025	0.764375	0.001	0.51	0.01	1.15	0.0025
130	0.00625	0.26625	0.14125	0.007333333	0.0175	0.9525	0.3925	0.0475
131	0.003125	0.260625	0.0175	0.023	0.01	0.955	0.0325	0.145
132	0.02625	0.44625	0.013125	0.0555	0.08	1.08	0.025	0.63
133	0.0025	0.44	0.01	0.0215	0.0075	0.9775	0.015	0.1125
134	0.008125	0.466875	0.0075	0.009	0.0225	1.02	0.015	0.03
135	0.10375	0.38125	0.01	0.069333333	0.365	1.0175	0.0175	0.6275
136	0.011875	0.374375	0.01	0.013833333	0.035	0.9375	0.0175	0.045
137	0.03625	0.508125	0.541875	0.002666667	0.085	0.875	1.03	0.015
138	0.01375	0.595	0.441875	0.002	0.0475	0.8925	0.665	0.005
139	0.068125	0.67	0.629375	0.002166667	0.23	0.9125	1.0725	0.005
140	0.000625	0.2625	0.008125	0.018	0.0025	0.955	0.01	0.065
141	0.25875	0.081875	0.0075	0.117333333	0.865	0.175	0.01	0.6425
142	0.00625	0.28375	0.008125	0.041333333	0.0125	0.97	0.015	0.15
143	0.0025	0.55625	0.011875	0.035	0.01	1.16	0.0225	0.1875
144	0.003125	0.505625	0.0125	0.0605	0.005	1.095	0.0275	0.4175
145	0.009375	0.454375	0.011875	0.036333333	0.015	0.9125	0.0225	0.13
146	0.003125	0.345	0.464375	0.015166667	0.005	0.89	0.78	0.085
147	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
148	0.038125	0.596875	0.513125	0.001166667	0.0725	0.9425	0.9175	0.005
149	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
150	0.06	0.589375	0.609375	0.001666667	0.15	0.9	1.0175	0.005
151	0.003125	0.45875	0.011875	0.054833333	0.005	0.9675	0.0225	0.2475
152	0.003125	0.4675	0.458125	0.019666667	0.005	1.135	0.705	0.16
153	0.00125	0.49125	0.013125	0.065166667	0.0025	1.0875	0.015	0.505
154	0.00125	0.00125	0.001875	0.006	0.0025	0.0025	0.0025	0.035
155	0.00125	0.001875	0.00125	0.004666667	0.0025	0.0025	0.005	0.04
156	0.0025	0.3975	0.014375	0.06	0.0075	0.85	0.0225	0.21
157	0.001875	0.480625	0.0375	0.053	0.005	1.035	0.0725	0.48
158	0.001875	0.75625	0.0425	0.001833333	0.0025	1.1975	0.11	0.005
159	0.19875	0.75875	0.53625	0.001333333	0.5825	1.22	1.0225	0.0025
160	0.025	0.778125	0.049375	0.001666667	0.09	1.27	0.13	0.005
161	0.003125	0.256875	0.00875	0.041333333	0.01	0.87	0.0175	0.2475
162	0.003125	0.485625	0.03	0.057666667	0.0075	1.0175	0.09	0.285
163	0.005	0.426875	0.01125	0.05	0.0125	0.85	0.0175	0.19
164	0.004375	0.465	0.014375	0.061	0.0125	0.935	0.0275	0.25
165	0.009375	0.210625	0.00375	0.0415	0.0275	0.7375	0.0125	0.205
166	0.00375	0.258125	0.015	0.058	0.0075	0.9725	0.0275	0.35
167	0.215	0.535625	0.565625	0.001833333	0.7775	0.9225	1.12	0.005
168	0.0225	0.4925	0.40125	0.001333333	0.065	0.9	0.9975	0.0025
169	0.254375	0.529375	0.430625	0.001333333	0.865	0.905	1.12	0.005
170	0.018125	0.49625	0.01875	0.0095	0.0625	0.9225	0.0425	0.0525
171	0.028125	0.030625	0.004375	0.0325	0.08	0.0425	0.01	0.34
172	0.044375	0.03625	0.86	0.003166667	0.12	0.075	1.105	0.0125
173	0.04625	0.02375	0.04375	0.010666667	0.125	0.0625	0.15	0.045
174	0.07375	0.015	0.010625	0.025166667	0.2075	0.035	0.0225	0.17
175	0.055625	0.05125	0.55	0.002	0.095	0.1675	1.1075	0.0125
176	0.076875	0.039375	0.8575	0.003333333	0.1825	0.1275	1.1025	0.01
177	0.215625	0.421875	0.83875	0.0015	0.8525	0.9825	1.0675	0.005
178	0.063125	0.4025	0.859375	0.001833333	0.18	1.165	1.15	0.005
179	0.01125	0.361875	0.86875	0.001333333	0.0225	1.12	1.115	0.005
180	0.004375	0.29625	0.00625	0.043666667	0.0125	1.0425	0.0175	0.2125
181	0.00375	0.326875	0.006875	0.0565	0.01	0.955	0.01	0.3075
182	0.001875	0.47875	0.0075	0.064333333	0.0025	0.985	0.02	0.345
183	0.003125	0.465625	0.009375	0.057166667	0.0075	0.9075	0.0175	0.2575
184	0.003125	0.46	0.011875	0.078	0.005	0.9575	0.0225	0.4
185	0.0025	0.466875	0.005625	0.078	0.0075	0.975	0.01	0.42
186	0.004375	0.480625	0.010625	0.063166667	0.01	0.97	0.02	0.2225
187	0.059375	0.505	0.5	0.002166667	0.125	0.9025	0.955	0.01
188	0.085625	0.55875	0.5575	0.001	0.24	0.9075	0.75	0.0025
189	0.074375	0.006875	0.30375	0.001166667	0.1575	0.0175	0.7825	0.005
190	0.004375	0.261875	0.01	0.053	0.01	0.98	0.02	0.395
191	0.008125	0.271875	0.005	0.044166667	0.025	0.92	0.01	0.2575
192	0.0375	0.28125	0.011875	0.0835	0.0975	0.89	0.0175	1.0425
193	0.00625	0.359375	0.0075	0.024666667	0.0175	0.955	0.0125	0.1625
194	0.33875	0.0125	0.00875	0.133833333	0.7325	0.025	0.015	0.72
195	0.2525	0.044375	0.0075	0.106	0.7275	0.07	0.015	0.7125
196	0.026875	0.263125	0.005625	0.019333333	0.04	0.9925	0.01	0.0725
197	0.030625	0.346875	0.005625	0.031	0.06	0.98	0.0125	0.3
198	0.043125	0.529375	0.255625	0.0025	0.1275	0.88	0.5575	0.0075
199	0.29375	0.56875	0.455	0.001166667	0.7125	0.895	0.815	0.005
200	0.055	0.03875	0.45875	0.003666667	0.1225	0.075	0.9375	0.0125
201	0.185625	0.030625	0.795625	0.003333333	0.6875	0.0775	0.905	0.01
202	0.024375	0.020625	0.048125	0.044333333	0.055	0.035	0.095	0.4975
203	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
204	0.009375	0.003125	0.00375	0.004166667	0.02	0.01	0.01	0.02
205	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
206	0.0075	0.00375	0.000625	0.002	0.015	0.005	0.0025	0.01
207	0.011875	0.010625	0.0075	0.001833333	0.035	0.0275	0.0175	0.005
208	0.219375	0	0.05125	0.001	0.74	0	0.0875	0.0025
209	0.025	0.00125	0.274375	0.001	0.0725	0.0025	0.58	0.005
210	0.035	0.000625	0.0125	0.001333333	0.07	0.0025	0.04	0.005
211	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
212	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
213	0.02375	0.008125	0.000625	0.002833333	0.045	0.02	0.0025	0.025
214	0.020625	0.01875	0.001875	0.0035	0.06	0.035	0.005	0.0225
215	0.01	0.006875	0.000625	0.006166667	0.0225	0.02	0.0025	0.0525
216	0.02625	0.035	0.000625	0.002166667	0.045	0.095	0.0025	0.02
217	0.019375	0.005	0.000625	0.001666667	0.0525	0.015	0.0025	0.005
218	0.091875	0.00375	0.036875	0.001	0.215	0.01	0.1175	0.0025
219	0.06625	0.01625	0.4175	0.001	0.1425	0.06	0.7975	0.005
220	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
221	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
222	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
223	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
224	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
225	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
226	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
227	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
228	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
229	0.340625	0.54875	0.680625	0.001166667	0.895	0.8675	1.125	0.0025
230	0.50125	0.675	0.655	0.0015	0.89	0.945	1.145	0.005
231	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
232	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
233	0.48375	0.083125	0.473125	0.486333333	1	0.2	0.8175	1.1825
234	0.058125	0.0275	0.42	0.3345	0.115	0.0725	0.8475	1.2175
235	0.509375	0.111875	0.56125	0.376166667	0.995	0.355	0.8075	1.045
236	0.225625	0.138125	0.551875	0.239	0.6925	0.3925	0.88	1.0125
237	0.515625	0.079375	0.421875	0.3265	1.025	0.17	0.8325	1.01
238	0.10375	0.065	0.445	0.461166667	0.2425	0.1475	0.82	1.085
239	0.453125	0.176875	0.448125	0.252	0.9	0.4075	0.8575	0.9
240	0.4025	0.063125	0.5075	0.3715	0.875	0.1475	0.8375	1.185
241	0.87125	0.01875	0.028125	0.009166667	1.0375	0.045	0.0425	0.0425
242	0.93125	0.006875	0.033125	0.007166667	1.06	0.015	0.0975	0.035
243	0.95	0.079375	0.04625	0.007166667	1.125	0.235	0.1275	0.0225
244	0.5575	0.48125	0.48625	0.411666667	0.9375	1.06	0.9	1.0075
245	0.326875	0.341875	0.441875	0.405833333	0.94	0.87	0.8575	1.0225
246	0.719375	0.525	0.4775	0.339333333	1.0225	1.1175	0.845	1.0625
247	0.73375	0.531875	0.46875	0.382833333	1.01	1.105	0.855	1.15
248	0.778125	0.615625	0.5625	0.283833333	1.145	1.08	0.9475	1.21
249	0.48	0.221875	0.5275	0.3725	0.905	0.4625	0.985	1.2175
250	0.736875	0.466875	0.55	0.315	1.21	1.0525	1.025	1.2275
251	0.975625	0.191875	0.06125	0.076833333	1.055	0.69	0.135	1.02
252	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
253	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
254	0.530625	0.13625	0.611875	0.4405	1.115	0.41	1.0425	1.19
255	0.45	0.085625	0.01875	0.290833333	0.87	0.225	0.0525	1.1275
256	0.085	0.093125	0.52625	0.4575	0.33	0.245	1.0325	1.1525
257	0.041875	0.15875	0.50125	0.474166667	0.1175	0.395	0.9475	1.1675
258	0.005625	0.0125	0.015	0.0195	0.0125	0.035	0.05	0.0825
259	0.424375	0.105625	0.519375	0.478	0.845	0.2	0.9775	1.1625
260	0.45875	0.106875	0.54125	0.4645	0.9225	0.275	0.9675	1.2175
261	0.213125	0.10375	0.549375	0.465166667	0.6375	0.2625	0.985	1.22
262	0.965	0.068125	0.0325	0.0565	1.195	0.1525	0.085	0.39
263	0.950625	0.74125	0.03125	0.0135	1.18	1.14	0.065	0.0825
264	0.956875	0.419375	0.17375	0.006333333	1.2025	0.81	0.5075	0.0275
265	0.414375	0.041875	0.75375	0.586666667	0.8825	0.085	1.0225	1.2025
266	0.42875	0.0275	0.628125	0.599666667	0.9325	0.0725	1.07	1.12
267	0.295	0.020625	0.53125	0.613166667	0.855	0.06	0.9725	1.1975
268	0.414375	0.041875	0.455	0.590333333	0.845	0.1125	0.84	1.18
269	0.416875	0.03875	0.464375	0.476166667	0.83	0.1175	0.855	1.2075
270	0.366875	0.04	0.418125	0.562833333	0.7925	0.145	0.84	1.2025
271	0.06375	0.53875	0.19	0.33	0.19	1.085	0.3825	1.255
272	0.13875	0.56125	0.214375	0.356833333	0.2525	0.94	0.5125	1.2225
273	0.0375	0.34125	0.381875	0.019666667	0.08	0.995	0.78	0.19
274	0.088125	0.526875	0.38875	0.401333333	0.205	1.0125	0.5275	1.26
275	0.585625	0.341875	0.363125	0.365	1.0525	0.92	0.7525	1.0975
276	0.17375	0.39	0.29375	0.440666667	0.4225	1.075	0.685	1.0925
277	0.485	0.2525	0.250625	0.520333333	0.9625	0.9775	0.675	1.09
278	0.4625	0.61375	0.4575	0.004833333	0.9575	0.9975	0.8425	0.03
279	0.265	0.62625	0.40125	0.005333333	0.9425	1.0025	0.7425	0.055
280	0.51125	0.634375	0.3975	0.001833333	1.0675	1.0075	0.77	0.0075
281	0.175	0.05	0.134375	0.562	0.255	0.1575	0.27	1.1175
282	0.036875	0.59	0.473125	0.015333333	0.06	1.04	0.7375	0.1275
283	0.029375	0.3175	0.135625	0.332833333	0.035	0.73	0.22	1.135
284	0.009375	0.08625	0.12625	0.011166667	0.0225	0.205	0.23	0.1125
285	0.004375	0.043125	0.015	0.001833333	0.0125	0.13	0.0425	0.005
286	0.09	0.00625	0.015625	0.0085	0.355	0.0125	0.03	0.085
287	0.001875	0.005	0.044375	0.002333333	0.0025	0.01	0.135	0.0075
288	0.393125	0.014375	0.21875	0.0005	0.8	0.0275	0.6175	0.0025
289	0.50875	0.0025	0.5525	0.001166667	1.0425	0.005	1.1425	0.0025
290	0.51125	0.0075	0.50375	0.002166667	1.06	0.02	1.0125	0.005
291	0.054375	0.728125	0.270625	0.529666667	0.13	1.13	0.495	1.14
292	0.615	0.531875	0.549375	0.372833333	1.18	1.05	1.1	1.0825
293	0.449375	0.509375	0.38375	0.425166667	0.8725	1.18	0.8175	1.09
294	0.48625	0.48625	0.23	0.4245	0.855	1.2425	0.7725	1.13
295	0.111875	0.47125 0.250625	0.402166667	0.3275	1.13	0.36	1.1375	
296	0.661875	0.098125	0.24	0.383	0.98	0.2525	0.8	1.1
297	0.580625	0.195625	0.37125	0.563166667	0.92	0.405	0.94	1.1
298	0.310625	0.18	0.459375	0.005666667	0.87	0.715	1.0825	0.02
299	0.293125	0.040625	0.264375	0.002333333	0.825	0.1275	0.99	0.0075
300	0.0075	0.09	0.4825	0.0035	0.015	0.22	1.1	0.01
301	0.104375	0.415	0.165625	0.491666667	0.2925	1.2525	0.55	1.1225
302	0.115625	0.3025	0.509375	0.3965	0.3625	0.67	1.1	1.125
303	0.64125	0.123125	0.4825	0.424333333	1.2025	0.4225	1.1625	1.1475
304	0.13	0.308125	0.20625	0.465666667	0.285	1.2025	0.7725	1.1675
305	0.083125	0.400625	0.475	0.467833333	0.255	1.095	0.995	1.21
306	0.046875	0.33	0.321875	0.123166667	0.1625	1.1475	0.5125	0.96
307	0.0275	0.50875	0.239375	0.605166667	0.08	1.255	0.825	1.25
308	0.039375	0.045625	0.39625	0.002666667	0.0725	0.13	1.205	0.005
309	0.345	0.495	0.3875	0.001666667	0.865	1.0725	1.12	0.005
310	0.035	0.045625	0.43	0.001833333	0.1025	0.125	1.1125	0.01
311	0.165625	0.4625	0.304375	0.411166667	0.2475	1.24	0.8625	1.2425
312	0.025625	0.314375	0.36625	0.3615	0.06	1.175	0.8675	1.1075
313	0.01125	0.07875	0.335625	0.409333333	0.025	0.1975	0.855	1.115
314	0.015625	0.03375	0.594375	0.3795	0.0275	0.05	1.23	1.0875
315	0.038125	0.09625	0.2875	0.5545	0.1025	0.165	0.855	1.125
316	0.01625	0.218125	0.28375	0.406	0.035	0.485	0.8125	1.11
317	0.008125	0.0525	0.310625	0.449333333	0.015	0.1475	0.865	1.1
318	0.424375	0.295	0.548125	0.002666667	0.7625	1.05	1.1025	0.0075
319	0.241875	0.2125	0.546875	0.001333333	0.75	0.6625	1.135	0.005
320	0.06	0.066875	0.740625	0.002166667	0.1375	0.1	1.145	0.0075
321	0.95	0.079375	0.04625	0.007166667	1.125	0.235	0.1275	0.0225
322	0.5575	0.48125	0.48625	0.411666667	0.9375	1.06	0.9	1.0075
323	0.326875	0.341875	0.441875	0.405833333	0.94	0.87	0.8575	1.0225
324	0.719375	0.525	0.4775	0.339333333	1.0225	1.1175	0.845	1.0625
325	0.73375	0.531875	0.46875	0.382833333	1.01	1.105	0.855	1.15
326	0.778125	0.615625	0.5625	0.283833333	1.145	1.08	0.9475	1.21
327	0.48	0.221875	0.5275	0.3725	0.905	0.4625	0.985	1.2175
328	0.736875	0.466875	0.55	0.315	1.21	1.0525	1.025	1.2275
329	0.975625	0.191875	0.06125	0.076833333	1.055	0.69	0.135	1.02
330	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
331	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
332	0.530625	0.13625	0.611875	0.4405	1.115	0.41	1.0425	1.19
333	0.45	0.085625	0.01875	0.290833333	0.87	0.225	0.0525	1.1275
334	0.085	0.093125	0.52625	0.4575	0.33	0.245	1.0325	1.1525
335	0.041875	0.15875	0.50125	0.474166667	0.1175	0.395	0.9475	1.1675
336	0.005625	0.0125	0.015	0.0195	0.0125	0.035	0.05	0.0825
337	0.424375	0.105625	0.519375	0.478	0.845	0.2	0.9775	1.1625
338	0.45875	0.106875	0.54125	0.4645	0.9225	0.275	0.9675	1.2175
339	0.213125	0.10375	0.549375	0.465166667	0.6375	0.2625	0.985	1.22
340	0.965	0.068125	0.0325	0.0565	1.195	0.1525	0.085	0.39
341	0.950625	0.74125	0.03125	0.0135	1.18	1.14	0.065	0.0825
342	0.956875	0.419375	0.17375	0.006333333	1.2025	0.81	0.5075	0.0275
343	0.414375	0.041875	0.75375	0.586666667	0.8825	0.085	1.0225	1.2025
344	0.42875	0.0275	0.628125	0.599666667	0.9325	0.0725	1.07	1.12
345	0.295	0.020625	0.53125	0.613166667	0.855	0.06	0.9725	1.1975
346	0.414375	0.041875	0.455	0.590333333	0.845	0.1125	0.84	1.18
